iter	Passed	Remaining
251	2170	6444
252	2179	6435
253	2188	6428
254	2194	6412
255	2203	6404
256	2210	6390
257	2219	6384
258	2228	6376
259	2237	6368
260	2249	6369
261	2262	6374
262	2271	6365
263	2282	6362
264	2294	6365
265	2302	6352
266	2309	6339
267	2316	6326
268	2322	6310
269	2328	6295
270	2337	6286
271	2343	6271
272	2351	6261
273	2357	6247
274	2365	6235
275	2372	6223
276	2378	6208
277	2385	6195
278	2395	6191
279	2409	6196
280	2422	6199
281	2435	6201
282	2447	6200
283	2459	6201
284	2470	6199
285	2479	6190
286	2489	6185
287	2498	6176
288	2505	6163
289	2511	6149
290	2518	6135
291	2524	6121
292	2533	6112
293	2540	6099
294	2546	6086
295	2553	6072
296	2559	6059
297	2566	6046
298	2572	6031
299	2579	6018
300	2585	6004
301	2592	5990
302	2598	5976
303	2604	5962
304	2610	5948
305	2618	5939
306	2625	5926
307	2631	5913
308	2638	5901
309	2645	5888
310	2651	5874
311	2658	5863
312	2666	5852
313	2673	5841
314	2680	5828
315	2688	5820
316	2697	5812
317	2707	5807
318	2719	5805
319	2731	5804
320	2744	5805
321	2754	5799
322	2761	5788
323	2770	5780
324	2780	5774
325	2790	5770
326	2797	5756
327	2803	5743
328	2810	5733
329	2819	5723
330	2827	5715
331	2835	5704
332	2842	5693
333	2851	5686
334	2862	5681
335	2869	5671
336	2878	5662
337	2885	5650
338	2891	5638
339	2898	5625
340	2904	5613
341	2911	5600
342	2918	5591
343	2926	5580
344	2933	5569
345	2939	5556
346	2945	5543
347	2951	5529
348	2957	5517
349	2966	5508
350	2972	5495
351	2978	5482
352	2984	5470
353	2990	5458
354	2997	5445
355	3003	5433
356	3010	5421
357	3016	5409
358	3024	5399
359	3032	5390
360	3038	5379
361	3045	5367
362	3052	5356
363	3059	5345
364	3066	5334
365	3074	5324
366	3080	5312
367	3086	5301
368	3093	5289
369	3103	5284
370	3110	5274
371	3122	5270
372	3131	5263
373	3139	5254
374	3150	5250
375	3161	5246
376	3170	5238
377	3176	5227
378	3182	5214
379	3188	5202
380	3195	5190
381	3201	5178
382	3212	5174
383	3224	5172
384	3237	5171
385	3249	5169
386	3258	5160
387	3265	5150
388	3271	5139
389	3278	5127
390	3287	5119
391	3294	5110
392	3301	5099
393	3307	5087
394	3314	5076
395	3320	5064
396	3327	5053
397	3333	5042
398	3339	5030
399	3345	5018
400	3352	5007
401	3362	5001
402	3373	4997
403	3386	4995
404	3400	4995
405	3411	4991
406	3419	4982
407	3428	4974
408	3435	4964
409	3444	4956
410	3453	4948
411	3464	4943
412	3470	4932
413	3477	4922
414	3485	4912
415	3494	4905
416	3502	4896
417	3509	4886
418	3515	4875
419	3526	4869
420	3534	4861
421	3540	4849
422	3546	4838
423	3552	4826
424	3558	4814
425	3565	4803
426	3571	4792
427	3577	4781
428	3584	4771
429	3594	4764
430	3601	4755
431	3609	4745
432	3616	4735
433	3624	4727
434	3632	4718
435	3644	4714
436	3655	4709
437	3666	4704
438	3672	4693
439	3681	4685
440	3689	4676
441	3695	4665
442	3702	4655
443	3709	4644
444	3715	4633
445	3721	4622
446	3727	4610
447	3733	4599
448	3739	4588
449	3745	4577
450	3751	4566
451	3757	4555
452	3765	4547
453	3774	4539
454	3784	4532
455	3791	4523
456	3797	4512
457	3803	4501
458	3815	4496
459	3827	4493
460	3839	4489
461	3851	4484
462	3862	4479
463	3871	4472
464	3879	4462
465	3886	4454
466	3893	4444
467	3904	4438
468	3915	4433
469	3924	4425
470	3931	4415
471	3937	4404
472	3944	4395
473	3954	4388
474	3963	4380
475	3970	4371
476	3976	4360
477	3983	4349
478	3989	4339
479	3998	4331
480	4004	4320
481	4012	4312
482	4021	4304
483	4030	4296
484	4039	4289
485	4047	4280
486	4056	4272
487	4062	4261
488	4068	4251
489	4076	4242
490	4083	4233
491	4090	4223
492	4099	4215
493	4108	4207
494	4116	4199
495	4124	4190
496	4134	4184
497	4145	4178
498	4157	4174
499	4167	4167
500	4174	4157
501	4180	4147
502	4187	4137
503	4194	4127
504	4202	4119
505	4213	4113
506	4222	4105
507	4230	4097
508	4238	4088
509	4246	4079
510	4253	4070
511	4262	4062
512	4269	4052
513	4275	4042
514	4281	4032
515	4288	4022
516	4294	4012
517	4300	4001
518	4307	3991
519	4313	3981
520	4319	3970
521	4325	3960
522	4331	3950
523	4337	3940
524	4343	3930
525	4349	3919
526	4356	3909
527	4364	3901
528	4373	3894
529	4380	3884
530	4387	3874
531	4395	3866
532	4402	3857
533	4408	3847
534	4415	3837
535	4422	3828
536	4431	3820
537	4440	3813
538	4451	3807
539	4463	3802
540	4476	3797
541	4487	3792
542	4494	3782
543	4501	3773
544	4507	3763
545	4513	3753
546	4521	3744
547	4527	3734
548	4535	3725
549	4541	3715
550	4547	3705
551	4553	3695
552	4559	3685
553	4565	3675
554	4571	3665
555	4578	3655
556	4587	3648
557	4593	3638
558	4599	3628
559	4605	3618
560	4617	3613
561	4625	3604
562	4633	3596
563	4641	3588
564	4648	3578
565	4656	3570
566	4667	3564
567	4676	3557
568	4684	3548
569	4693	3540
570	4701	3531
571	4708	3522
572	4715	3514
573	4721	3504
574	4728	3494
575	4736	3486
576	4742	3477
577	4749	3467
578	4756	3458
579	4763	3449
580	4771	3440
581	4780	3433
582	4788	3425
583	4794	3415
584	4800	3405
585	4807	3396
586	4816	3388
587	4823	3379
588	4830	3371
589	4837	3361
590	4843	3352
591	4850	3342
592	4858	3334
593	4867	3326
594	4876	3319
595	4885	3311
596	4891	3302
597	4897	3292
598	4903	3282
599	4910	3273
600	4916	3263
601	4922	3254
602	4928	3244
603	4934	3235
604	4942	3227
605	4949	3217
606	4955	3208
607	4961	3198
608	4967	3189
609	4973	3179
610	4979	3170
611	4985	3160
612	4991	3151
613	4997	3141
614	5003	3132
615	5010	3123
616	5018	3115
617	5024	3106
618	5031	3096
619	5038	3087
620	5044	3078
621	5050	3069
622	5057	3060
623	5066	3052
624	5072	3043
625	5079	3034
626	5085	3025
627	5093	3016
628	5099	3007
629	5108	3000
630	5115	2991
631	5124	2983
632	5133	2976
633	5141	2967
634	5147	2958
635	5155	2950
636	5162	2941
637	5168	2932
638	5175	2923
639	5182	2915
640	5189	2906
641	5195	2897
642	5202	2888
643	5208	2879
644	5216	2871
645	5223	2862
646	5230	2853
647	5236	2844
648	5242	2835
649	5249	2826
650	5255	2817
651	5262	2808
652	5269	2800
653	5277	2791
654	5286	2784
655	5293	2775
656	5299	2766
657	5306	2757
658	5312	2748
659	5319	2740
660	5326	2731
661	5334	2723
662	5341	2715
663	5348	2706
664	5354	2697
665	5360	2688
666	5367	2679
667	5374	2671
668	5380	2662
669	5387	2653
670	5393	2644
671	5400	2636
672	5410	2628
673	5422	2622
674	5434	2616
675	5444	2609
676	5454	2602
677	5464	2595
678	5474	2588
679	5481	2579
680	5488	2570
681	5495	2562
682	5503	2554
683	5509	2545
684	5520	2538
685	5531	2531
686	5544	2526
687	5557	2520
688	5567	2513
689	5575	2504
690	5584	2497
691	5593	2489
692	5603	2482
693	5610	2473
694	5617	2465
695	5625	2457
696	5632	2448
697	5641	2440
698	5649	2432
699	5656	2424
700	5664	2416
701	5671	2407
702	5678	2399
703	5685	2390
704	5692	2382
705	5699	2373
706	5707	2365
707	5714	2356
708	5720	2347
709	5726	2338
710	5732	2330
711	5738	2321
712	5744	2312
713	5751	2303
714	5757	2294
715	5766	2287
716	5773	2278
717	5781	2270
718	5790	2263
719	5803	2256
720	5816	2250
721	5827	2244
722	5839	2237
723	5851	2230
724	5863	2223
725	5873	2216
726	5883	2209
727	5890	2200
728	5902	2194
729	5914	2187
730	5922	2179
731	5928	2170
732	5937	2162
733	5943	2153
734	5953	2146
735	5961	2138
736	5969	2130
737	5978	2122
738	5984	2113
739	5992	2105
740	6003	2098
741	6016	2091
742	6027	2084
743	6036	2076
744	6047	2069
745	6058	2062
746	6071	2056
747	6079	2048
748	6086	2039
749	6094	2031
750	6100	2022
751	6107	2014
752	6114	2005
753	6120	1996
754	6126	1988
755	6132	1979
756	6141	1971
757	6146	1962
758	6153	1953
759	6159	1945
760	6166	1936
761	6172	1927
762	6178	1919
763	6184	1910
764	6190	1901
765	6197	1893
766	6206	1885
767	6212	1876
768	6218	1867
769	6224	1859
770	6231	1850
771	6238	1842
772	6245	1834
773	6251	1825
774	6257	1816
775	6263	1808
776	6270	1799
777	6276	1791
778	6283	1782
779	6290	1774
780	6298	1766
781	6305	1757
782	6312	1749
783	6318	1740
784	6324	1732
785	6333	1724
786	6342	1716
787	6351	1708
788	6359	1700
789	6367	1692
790	6373	1683
791	6379	1675
792	6385	1666
793	6391	1658
794	6397	1649
795	6404	1641
796	6411	1633
797	6419	1624
798	6428	1617
799	6440	1610
800	6452	1602
801	6463	1595
802	6474	1588
803	6482	1580
804	6492	1572
805	6502	1565
806	6513	1557
807	6522	1549
808	6529	1541
809	6537	1533
810	6545	1525
811	6554	1517
812	6563	1509
813	6570	1501
814	6581	1493
815	6588	1485
816	6596	1477
817	6603	1469
818	6609	1460
819	6617	1452
820	6628	1445
821	6641	1438
822	6654	1431
823	6665	1423
824	6677	1416
825	6691	1409
826	6700	1401
827	6706	1393
828	6712	1384
829	6718	1376
830	6724	1367
831	6731	1359
832	6737	1350
833	6743	1342
834	6749	1333
835	6755	1325
836	6761	1316
837	6767	1308
838	6773	1299
839	6779	1291
840	6785	1282
841	6791	1274
842	6798	1266
843	6804	1257
844	6812	1249
845	6819	1241
846	6825	1232
847	6831	1224
848	6837	1216
849	6846	1208
850	6854	1200
851	6863	1192
852	6872	1184
853	6882	1176
854	6891	1168
855	6898	1160
856	6904	1152
857	6913	1144
858	6919	1135
859	6925	1127
860	6932	1119
861	6938	1110
862	6944	1102
863	6950	1094
864	6956	1085
865	6962	1077
866	6968	1069
867	6975	1060
868	6981	1052
869	6987	1044
870	6996	1036
871	7004	1028
872	7011	1020
873	7017	1011
874	7024	1003
875	7030	995
876	7038	987
877	7046	979
878	7053	970
879	7060	962
880	7066	954
881	7072	946
882	7079	938
883	7088	930
884	7095	922
885	7105	914
886	7115	906
887	7122	898
888	7129	890
889	7137	882
890	7144	873
891	7150	865
892	7156	857
893	7162	849
894	7169	841
895	7176	832
896	7182	824
897	7188	816
898	7194	808
899	7201	800
900	7207	791
901	7213	783
902	7221	775
903	7227	767
904	7238	759
905	7246	751
906	7256	744
907	7265	736
908	7273	728
909	7283	720
910	7293	712
911	7301	704
912	7310	696
913	7316	688
914	7323	680
915	7330	672
916	7337	664
917	7343	655
918	7349	647
919	7356	639
920	7362	631
921	7374	623
922	7382	615
923	7393	608
924	7405	600
925	7415	592
926	7427	584
927	7438	577
928	7448	569
929	7458	561
930	7468	553
931	7476	545
932	7482	537
933	7489	529
934	7496	521
935	7502	513
936	7509	504
937	7518	496
938	7528	489
939	7538	481
940	7545	473
941	7552	464
942	7558	456
943	7565	448
944	7572	440
945	7580	432
946	7586	424
947	7593	416
948	7599	408
949	7605	400
950	7611	392
951	7618	384
952	7624	376
953	7634	368
954	7644	360
955	7651	352
956	7658	344
957	7665	336
958	7672	328
959	7678	319
960	7686	311
961	7692	303
962	7700	295
963	7706	287
964	7713	279
965	7719	271
966	7725	263
967	7731	255
968	7737	247
969	7746	239
970	7752	231
971	7758	223
972	7765	215
973	7771	207
974	7778	199
975	7784	191
976	7790	183
977	7796	175
978	7802	167
979	7808	159
980	7815	151
981	7822	143
982	7829	135
983	7836	127
984	7843	119
985	7849	111
986	7856	103
987	7865	95
988	7873	87
989	7883	79
990	7891	71
991	7901	63
992	7910	55
993	7916	47
994	7925	39
995	7934	31
996	7943	23
997	7951	15
998	7960	7
999	7970	0
